,Title,Published_date,Views,Likes,Dislikes,Comments,Month
195,खाली समय में ये चीज़ ज़रूर सीखना | Must Learn This One Thing in Your Free Time | What to do Lockdown?,05-04-2020,219200,16255,0,462,Apr
196,ऐसे पैदा हुआ कोरोना! SHOCKING UPDATE ABOUT HOW CORONAVIRUS CAME IN THE EXISTENCE,27-03-2020,62230,4312,0,225,Mar
197,MINDFUL बनना सीखो | HOW TO BE MINDFUL IN HINDI | THE MIRACLE OF MINDFULNESS | YEBOOK,22-03-2020,170405,11157,0,311,Mar
198,जासूसों की तरह दोस्ती करना सीखो | Make Friends Like a Spy | The Like Switch by Jack Schafer | YEBOOK,08-03-2020,504386,28311,0,674,Mar
199,अपनी इज्जत करवाना सीखो | Learn to Earn Respect From Others,01-03-2020,1355110,82463,0,1167,Mar
200,ये करके देखो जहां जाओगे इज्ज़त मिलेगी | 6 Extreme Communication Techniques Will Earn Respect For You,23-02-2020,534744,29764,0,505,Feb
201,चालाकी से बात करना सीखो | Communication Skills To Impress Anyone,16-02-2020,211537,13100,0,285,Feb
202,ये विडिओ Confident बना देगी चाहे कितना ही शरमाते हो! फिर सब से खुल कर बात कर सकोगे | Communication,09-02-2020,153189,12372,0,240,Feb
203,खुद को MOTIVATE करना सीखो | Learn to Motivate Yourself | 10 Advices from Andrew Carnegie,26-01-2020,710953,39105,0,641,Jan
204,शानदार ATTITUDE बनाना सीखो | Learn to Build a Great Attitude,12-01-2020,679194,52098,0,1254,Jan
205,अपना PASSION ढूँढना सीखो | LEARN TO FIND YOUR PASSION IN HINDI,02-01-2020,286385,16148,0,380,Jan
206,अपने खाली समय का सही इस्तेमाल करना सीखो | Do This 5 Things in Your Spare Time,15-12-2019,3389320,168732,0,2252,Dec
207,अपनी सोच बदलना सीखो | LEARN TO CHANGE YOUR ATTITUDE AND GET SUCCESS | The Beginners by Kuldeep Singh,09-12-2019,358910,20882,0,386,Dec
208,कामयाब लोगों को दोस्त बनाना सीखो | Learn to Befriends With Rich and Successful People 🔥🔥🔥,24-11-2019,108719,6575,0,184,Nov
209,अच्छे लोगों के साथ रहना सीखो | Steve Jobs की ज़िन्दगी से 8 सबक | 8 Lessons from Steve Jobs' Life 🔥🔥,17-11-2019,367175,29821,0,556,Nov
210,अपना दिमाग चलाना सीखो | Learn to Use Your Brain Correctly | Yebook,03-11-2019,1900030,120860,0,1173,Nov
211,Breakup से बचने के तरीके | How to Manage Relationships and Avoid Breakup? | Mindset by Carol Dweck,27-10-2019,89229,6489,0,293,Oct
212,लड़कियों! इन 3 लड़कों से दूर रहना | 4 TYPES OF MEN IN HINDI,22-09-2019,621942,37556,0,5576,Sep
213,बिना डरे बात करना सीखो | COMMUNICATION SKILLS FOR INTROVERTS IN HINDI | YEBOOK,04-09-2019,4488899,128259,0,1867,Sep
214,तमीज से बात करना सीखो | 50 THINGS EVERY YOUNG GENTLEMAN SHOULD KNOW SUMMARY IN HINDI | COMMUNICATION,04-08-2019,2632011,83044,0,1790,Aug
215,STARTUP शुरू करना सीखो | HOW TO LAUNCH A PRODUCT IN HINDI | THE LEAN STARTUP SUMMARY IN HINDI,28-07-2019,384631,17880,0,234,Jul
216,STOCK MARKET को समझो  | UNDERSTAND SHARE MARKET |  SHARE MARKET IN HINDI | FREE DEMAT ACCOUNT,21-07-2019,2021430,84558,0,1218,Jul
217,हमारी ज़िन्दगी का पहला साल हमें बनाता है कामयाब या नाकाम | BECOMING ATTACHED BY ROBERT KAREN IN HINDI,14-07-2019,56580,3631,0,127,Jul
218,आखिरी किताब जो आपकी ज़िन्दगी बदल दे | THE LAST BOOK FOR YOUR BEST LIFE BY PUSHKAR RAJ THAKUR,07-07-2019,319992,18893,0,390,Jul
219,चालाकी से बात करना सीखो | Advanced Communication Skills Techniques | How to Talk to Anyone by Leil,09-06-2019,14270099,388498,0,4751,Jun
220,5 बातें जो स्कूल ने आपको नहीं सिखाई | 5 THINGS THAT SCHOOL DIDN'T TEACH YOU,02-06-2019,273444,17669,0,493,Jun
221,"पैसों के लिए काम मत करो, पैसों से काम करवाना सीखो | DON'T WORK FOR MONEY MAKE MONEY WORK FOR YOU.",15-05-2019,120945,6131,0,213,May
222,MOTIVATIONAL विडियो का असर क्यों नहीं रहता? | 3 WAYS TO MOTIVATE YOURSELF WITHOUT MOTIVATIONAL VIDEO,09-05-2019,71054,4269,0,214,May
223,किसी से मिलो तो ये बातें याद रखो | COMMUNICATION SKILLS FROM चाणक्य नीति | CHANAKYA NEETI IN HINDI,05-05-2019,4296314,170172,0,1910,May
224,POWER OF CONFIDENCE | HOW TO BE CONFIDENT? | 5 TIPS ON HOW TO INCREASE SELF CONCIDENCE IN HINDI?,29-04-2019,80410,5806,0,718,Apr
225,ये TRIANGLE अगर FOLLOW नहीं करोगे तो जगह रहोगे नाकाम | MASLOW'S HIERARCHY OF NEEDS IN HINDI,24-04-2019,128185,8274,0,304,Apr
226,बेबीलोन के सबसे अमीर आदमी की अमीरी का राज़ | THE RICHEST MAN IN BABYLON IN HINDI,16-04-2019,152374,9595,0,221,Apr
227,HOW TO DEAL WITH HATERS? (HINDI) | 6 THINGS YOU SHOULD KNOW ABOUT YOUR HATERS,10-04-2019,76003,6874,0,501,Apr
228,KAASH MUJHE PAHLE PATA HOTA | MOTIVATIONAL STORY IN HINDI | YEBOOK,25-03-2019,118189,8943,0,512,Mar
229,कामयाब लोगों की सुबह की 4 आदतें | THE 5 AM CLUB BY ROBIN SHARMA | PERSONALITY DEVELOPMENT IN HINDI,20-03-2019,256016,19095,0,730,Mar
230,MORNING HABITS OF THE BEST PEOPLE IN THE WORLD | THE 5AM CLUB IN HINDI | 20/20/20 RULE FROM 5AM CLUB,13-03-2019,134442,10430,0,305,Mar
231,ये 6 बातें आप को 20 की उम्र से पहले पता होनी चाहिए | 6 THINGS YOU SHOULD KNOW BEFORE YOU ARE 20,05-03-2019,776187,54664,0,967,Mar
232,LOVE AND SUCCESS | MOTIVATIONAL STORY IN HINDI,24-02-2019,154332,7621,0,240,Feb
233,असफल लोगों की एक गलती जो 95% लोग करते हैं | TIME MANAGEMENT FORMULA,11-02-2019,142851,12506,0,2692,Feb
234,A FATHER AND A SON | MOTIVATIONAL STORY IN HINDI,22-01-2019,6320536,137192,0,3606,Jan
235,बिना TOP किये सफल होना है तो देखो ये विडियो | TOPPERS VS AVERAGE,18-01-2019,312392,35613,0,1955,Jan
236,3 तरीकों से आप को बेवकूफ बनाया जा रहा है | 3 TRICKS TO MANIPULATE PEOPLE | YEBOOK,10-01-2019,381128,29914,0,774,Jan
237,अच्छे लोगों के साथ बुरा क्यों होता है ? THE LUCK FACTOR IN HINDI BY YEBOOK,29-12-2018,85430,7623,0,324,Dec
238,THE ACHIEVEMENT HABIT IN HINDI,24-12-2018,100563,9131,0,350,Dec
239,6 SHOCKING BRAIN DAMAGING HABITS (HINDI) दिमाग कमज़ोर करने वाली 6 चौकाने वाली आदतें | BRAIN POWER,13-12-2018,1186408,52493,0,1571,Dec
240,गरीबों की 3 आदतों से आप को हमेशा बचना चाहिए | 3 HABITS OF POOR THAT RICH DON'T HAVE RICH & POOR,01-11-2018,642583,45695,0,6407,Nov
241,Khud Ko Samajhna Seekho | Emotional Intelligence by Daniel Goleman in Hindi,26-09-2018,550963,30011,0,1418,Sep
242,गरीब VS अमीर| 5 MAIN DIFFERENCE BETWEEN RICH AND POOR | THIS WILL CHANGE YOUR LIFE COMPLETELY,07-09-2018,3800829,218295,0,6936,Sep
243,6 LIFE LESSONS FROM BEST BOOKS IN HINDI,03-08-2018,198237,10802,0,1315,Aug
244,COMMUNICATION SKILLS की इन TECHNIQUES से बिलकुल बदल जाओगे | HOW TO OVERCOME SHYNESS,21-07-2018,4090560,100929,0,2431,Jul
245,4 PROBLEMS YOU WON'T BELIEVE CAN MAKE YOU VERY RICH | 4 समस्याएँ जो आप को बना सकती हैं बहुत अमीर,14-07-2018,198512,17009,0,508,Jul
246,ONE HABIT OF DHIRUBHAI AMBANI | आम लोगों से अलग बनाने वाली एक आदत | MOTIVATIONAL SUCCESS STORY,29-06-2018,1249581,37627,0,643,Jun
247,6 HABITS OF UNSUCCESSFUL PEOPLE | असफल लोगों की 6 आदतें जो सफल लोगों में नहीं होती,26-05-2018,3156443,241679,0,4738,May
248,ये 5 बातें आप को बड़ा बना सकती हैं | SANDEEP MAHESHWARI BUSINESS MODEL AND CANDY CRUSH REVENUE MODEL,30-04-2018,226283,11304,0,304,Apr
249,कामयाब VS नाकाम | EFFECTS OF READING 10 PAGES | THE SLIGHT EDGE IN HINDI,31-03-2018,127889,7449,0,490,Mar
250,THE 48 LAWS OF POWER IN HINDI | HOW TO BECOME A POWERFUL PERSON | HOW POLITICIANS FOOL THE PEOPLE,17-03-2018,449149,37470,0,1714,Mar
251,सही MINDSET बनाना सीखो | MINDSET BY CAROL DWECK,24-02-2018,554406,32295,0,1238,Feb
252,READ MIND OF ANYONE | LEARN WHAT EVERYBODY IS THINKING | इन TECHNIQUES से जानो किसी के भी मन की बात,14-02-2018,485342,26943,0,474,Feb
253,"WHY DO PEOPLE GET MARRIED? शादी और ONLINE DATING के बारे में सब कुछ, MODERN ROMANCE BY AZIZ ANSARI",13-01-2018,1670186,34570,0,1236,Jan
254,"6 HABITS OF RICH PEOPLE | अमीरों की 6 आदतें जो गरीबों में नहीं होती, SUCCESS HABITS IN HINDI",28-12-2017,3670991,126920,0,19433,Dec
255,HOW TO STOP WORRYING AND START LIVING | 2 SIMPLE TECHNIQUES TO SOLVE ALL PROBLEMS AND LIVE HAPPY,19-12-2017,599508,33312,0,776,Dec
256,इस एक आदत से सारे काम होंगे जल्दी | THE POMODORO TECHNIQUE | ONE HABIT FOR TIME MANAGEMENT IN HINDI,04-12-2017,333431,20681,0,498,Dec
257,7 SIGNS THAT SHOWS YOU'RE GENIUS,13-11-2017,2903622,79778,0,12357,Nov
258,BUSINESS IDEAS ढूँढने का बेस्ट तरीका | HOW TO FIND BUSINESS IDEAS IN HINDI | YEBOOK,31-10-2017,739873,25508,0,550,Oct
259,सोने से पहले यह करें | The Power of Subconscious Mind,10-10-2017,1583532,53271,0,1780,Oct
260,गरीब vs अमीर | 7 THINGS THAT WILL CHANGE YOUR LIFE COMPLETELY | 7 THINGS POOR DO BUT RICH DON'T,21-09-2017,15298452,432653,0,13287,Sep
261,इससे पहले कि आप बूढ़े हो जाओ ये काम ज़रूर कर लेना DO THIS BEFORE YOU GET OLD | HINDI STORY WITH MORAL,15-09-2017,632494,22700,0,541,Sep
262,लोगों की पसंद बनना है? तो ये करो | ये TECHNIQUES हैं ज़रूरी | SELF DEVELOPMENT IN HINDI,31-08-2017,8350609,172211,0,5165,Aug
263,ये 5 आदतें आपको बर्बाद कर देगी 5 HABITS THAT WILL RUIN YOUR LIFE ! YEBOOK,24-08-2017,3469364,106196,0,3765,Aug
264,COMMUNICATION SKILLS की इन TECHNIQUES से बिलकुल बदल जाओगे | HOW TO IMPROVE COMMUNICATION SKILLS,05-08-2017,16795807,609232,0,7187,Aug
265,5 Habits of Mentally Strong People in Hindi | HOW TO BE MENTALLY STRONG | 13 THINGS MENTALLY STRONG,27-07-2017,490464,18768,0,805,Jul
266,अमीर किस रास्ते पर चलते हैं ? HOW TO MAKE MONEY | HOW TO BE A MILLIONAIRE | (IN HINDI) YEBOOK #36,09-07-2017,707351,23937,0,876,Jul
267,"किसी भी अजनबी से बात कैसे शुरू करें?  HOW TO TALK TO ANYONE YOU LIKE, SOCIAL SKILLS HINDI YEBOOK #35",26-06-2017,4359336,149316,0,1295,Jun
268,5 जादूई बातें जो आपको कहना चाहिए लेकिन कहते नहीं | 5 MAGICAL PHRASES FOR POSITIVE PEOPLE YEBOOK #34,09-06-2017,4220511,108586,0,1909,Jun
269,60 SECONDS FORMULA FOR SUCCESSFUL JOB INTERVIEW | ONLINE JOBS OR OFFLINE JOBS BE IT ANY | YEBOOK #33,27-05-2017,86228,4101,0,115,May
270,"HOW TO BE SMART AND THINK POSITIVE, SLOW AND LONG-TERM? GET SMART BY BRIAN TRACY IN HINDI YEBOOK #32",19-05-2017,503411,23832,0,446,May
271,HOW TO BE SMART AND THINK CREATIVELY? GET SMART BY BRIAN TRACY IN HINDI | YEBOOK #31,12-05-2017,1956110,79641,0,1260,May
272,अवचेतन मन की हैरतअंगेज शक्तियां | THE POWER OF SUBCONSCIOUS MIND | how subconscious mind works,26-04-2017,1463353,59308,0,2829,Apr
273,HOW TO MAKE ANYONE YOUR FRIEND | HOW TO WIN FRIENDS AND INFLUENCE PEOPLE | YEBOOK #29,15-04-2017,2436445,75346,0,1704,Apr
274,किसी को भी दोस्त बनाना सीखो | HOW TO WIN FRIENDS AND INFLUENCE PEOPLE BY DALE CARNEGIE,08-04-2017,1668834,63116,0,1240,Apr
275,5 काम जो हर कामयाब इंसान करता है | 100 THINGS SUCCESSFUL PEOPLE DO BY NIGEL CUMBERLAND | YEBOOK,28-03-2017,437636,16713,0,621,Mar
276,HOW TO WAKE UP EARLY? HOW TO BUILD GOOD HABITS? HOW TO QUIT BAD HABITS? MINI HABITS | YEBOOK #26,21-03-2017,774059,41060,0,818,Mar
277,मौत के समय लोगों को किन बातों का अफ़सोस होता है? 5 REGRETS OF THE DYING BY BRONNIE WARE | YEBOOK #25,13-03-2017,145895,7462,0,402,Mar
278,HOW TO GET MASSIVE SUCCESS BY BUILDING FRIENDSHIPS | THE MAGIC OF THINKING BIG | YEBOOK #24,09-03-2017,79522,4527,0,147,Mar
279,HOW TO DEAL WITH HATERS | IMPRESS BOSS | BECOME POWERFUL | THE 48 LAWS OF POWER IN HINDI YEBOOK #23,27-02-2017,324131,20764,0,361,Feb
280,"HOW TO THINK AND TAKE RIGHT DECISIONS, THE POWER OF THINKING TWICE BY LESS PARROT | YEBOOK #22",14-02-2017,533970,32803,0,627,Feb
281,HOW TO ATTRACT PEOPLE IN JUST 90 SECONDS | HOW TO ATTRACT GIRLS | COMMUNICATION SKILLS IN HINDI,07-02-2017,4443624,225670,0,1861,Feb
282,"HOW TO THINK CREATIVELY, BOOST MEMORY | UNLIMITED POWER BY TONY ROBBINS | YEBOOK #19",23-01-2017,108271,6443,0,126,Jan
283,सुबह अगर आप भी करते हो ये काम तो हो जाइए सावधान |  THE DANGERS OF SNOOZING | YEBOOK #18,09-01-2017,248804,18172,0,295,Jan
284,पहले जैसे नहीं रहोगे अगर सुबह करोगे ये 6 काम  | 6 MORNING HABITS | THE MIRACLE MORNING BY HAL ELROD,03-01-2017,5079160,208428,0,1995,Jan
285,NEW YEAR NEW LIFE | YEBOOK #16,31-12-2016,35766,1399,0,51,Dec
286,Funny Videos Live Stream,19-12-2016,0,0,0,0,Dec
287,THE INTELLIGENT INVESTOR | HOW TO INVEST IN STOCK MARKET | YEBOOK #15,18-12-2016,254157,9204,0,152,Dec
288,WHY THINGS GO VIRAL? (HINDI) CONTAGIOUS : WHY THINGS CATCH ON BY JONAH BERGER | YEBOOK #14,03-12-2016,70278,3592,0,102,Dec
289,ऐसा होता है असली मर्द का ATTITUDE | LEARNED OPTIMISM BY MARTIN SELIGMAN | YEBOOK #13,26-11-2016,159975,8674,0,370,Nov
290,HOW TO INCREASE WILLPOWER (HINDI) WILLPOWER BY ROY BAUMEISTER & JOHN TIERNEY | YEBOOK #12,11-11-2016,310904,11059,0,193,Nov
291,HOW TO BE MENTALLY STRONG HINDI - 13 THINGS MENTALLY STRONG PEOPLE DON'T DO BY AMY MORIN YEBOOK #11,03-11-2016,870877,33353,0,528,Nov
292,THE MAGIC OF THINKING BIG BY DAVID J SCHWARTZ (HINDI) - ANIMATED BOOK REVIEW - YEBOOK #10,17-10-2016,450200,15101,0,360,Oct
293,ACHIEVE ANYTHING IN LIFE BY VERY LITTLE ACTIONS | BECOME SUCCESSFUL | THE COMPOUND EFFECT YEBOOK #9,08-09-2016,312220,10787,0,257,Sep
294,6 STEPS TOWARDS PEACEFUL LIFE (HINDI) - BY ADI GURU DAS - | YEBOOK #8,26-07-2016,93081,2938,0,83,Jul
295,THINK AND GROW RICH ANIMATED BOOK (HINDI) | YEBOOK #7,08-05-2016,249130,8277,0,317,May
296,8 SIMPLE WAYS TO MAXIMISE BRAIN POWER | दिमाग तेज़ कैसे करें | दिमाग तेज करने के तरीके,16-04-2016,2040440,25657,0,510,Apr
297,RICH DAD POOR DAD BY ROBERT KIYOSAKI (HINDI) IDEA #4,01-04-2016,230040,4975,0,236,Apr
298,TIME MANAGEMENT AT WORK PLACE (HINDI) | YEBOOK #4,23-03-2016,102972,2689,0,52,Mar
299,HOW TO BUILD READING HABIT IN YOUR CHILD (HINDI) IDEA #2,16-03-2016,84699,2138,0,46,Mar
300,WHAT IS A SUCCESSFUL LIFE? (HINDI) | YEBOOK #2,13-03-2016,104216,2816,0,97,Mar
